0x01	escape pressed
	
0x02	1 pressed
x03	2 pressed

0x04	3 pressed
x05	4 pressed
x06	5 pressed
x07	6 pressed

0x08	7 pressed
x09	8 pressed
x0A	9 pressed
x0B (zero) pressed

0x0C	- pressed
x0D	= pressed
x0E	backspace pressed
x0F	tab pressed

0x10	Q pressed
x11	W pressed
x12	E pressed
x13	R pressed

0x14	T pressed
x15	Y pressed
x16	U pressed
x17	I pressed

0x18	O pressed
x19	P pressed
x1A	[ pressed
x1B	] pressed

0x1C	enter pressed
x1D	left control pressed
x1E	A pressed
x1F	S pressed

0x20	D pressed
x21	F pressed
x22	G pressed
x23	H pressed

0x24	J pressed
x25	K pressed
x26	L pressed
x27	 ; pressed

0x28	' (single quote) pressed
x29	` (back tick) pressed
x2A	left shift pressed
x2B	\ pressed

0x2C	Z pressed
x2D	X pressed
x2E	C pressed
x2F	V pressed

0x30	B pressed
x31	N pressed
x32	M pressed
x33	, pressed

0x34	. pressed
x35	/ pressed
x36	right shift pressed
x37	(keypad) * pressed

0x38	left alt pressed
x39	space pressed
x3A	CapsLock pressed
x3B	F1 pressed

0x3C	F2 pressed
x3D	F3 pressed
x3E	F4 pressed
x3F	F5 pressed

0x40	F6 pressed
x41	F7 pressed
x42	F8 pressed
x43	F9 pressed

0x44	F10 pressed
x45	NumberLock pressed
x46	ScrollLock pressed
x47	(keypad) 7 pressed

0x48	(keypad) 8 pressed
x49	(keypad) 9 pressed
x4A	(keypad) - pressed
x4B	(keypad) 4 pressed

0x4C	(keypad) 5 pressed
x4D	(keypad) 6 pressed
x4E	(keypad) + pressed
x4F	(keypad) 1 pressed

0x50	(keypad) 2 pressed
x51	(keypad) 3 pressed
x52	(keypad) 0 pressed
x53	(keypad) . pressed

0x57	F11 pressed

0x58	F12 pressed
						
0x81	escape released
x82	1 released
x83	2 released

0x84	3 released
x85	4 released
x86	5 released
x87	6 released

0x88	7 released
x89	8 released
x8A	9 released
x8B (zero) released

0x8C	- released
x8D	= released
x8E	backspace released
x8F	tab released

0x90	Q released
x91	W released
x92	E released
x93	R released

0x94	T released
x95	Y released
x96	U released
x97	I released

0x98	O released
x99	P released
x9A	[ released
x9B	] released

0x9C	enter released
x9D	left control released
x9E	A released
x9F	S released

0xA0	D released
xA1	F released
xA2	G released
xA3	H released

0xA4	J released
xA5	K released
xA6	L released
xA7	 ; released

0xA8	' (single quote) released
xA9	` (back tick) released
xAA	left shift released
xAB	\ released

0xAC	Z released
xAD	X released
xAE	C released
xAF	V released

0xB0	B released
xB1	N released
xB2	M released
xB3	, released

0xB4	. released
xB5	/ released
xB6	right shift released
xB7	(keypad) * released

0xB8	left alt released
xB9	space released
xBA	CapsLock released
xBB	F1 released

0xBC	F2 released
xBD	F3 released
xBE	F4 released
xBF	F5 released

0xC0	F6 released
xC1	F7 released
xC2	F8 released
xC3	F9 released

0xC4	F10 released
xC5	NumberLock released
xC6	ScrollLock released
xC7	(keypad) 7 released

0xC8	(keypad) 8 released
xC9	(keypad) 9 released
xCA	(keypad) - released
